CPU 1 is empty
CPU 2 is empty
CPU 3 is empty
CPU 5 is empty
CPU 6 is empty
CPU 7 is empty
CPU 9 is empty
cpus=10
      lazy_alloc-31612 [004] 34326.485537: funcgraph_exit:       + 23.222 us  |                          }
      lazy_alloc-31612 [004] 34326.485537: funcgraph_exit:       + 24.965 us  |                        }
      lazy_alloc-31612 [004] 34326.485537: funcgraph_entry:                   |                        irq_exit_rcu() {
      lazy_alloc-31612 [004] 34326.485538: funcgraph_entry:        0.127 us   |                          idle_cpu();
      lazy_alloc-31612 [004] 34326.485538: funcgraph_exit:         0.427 us   |                        }
      lazy_alloc-31612 [004] 34326.485538: funcgraph_exit:       + 28.960 us  |                      }
      lazy_alloc-31612 [004] 34326.485538: funcgraph_exit:       + 29.265 us  |                    }
      lazy_alloc-31612 [004] 34326.485538: funcgraph_exit:       + 29.459 us  |                  }
      lazy_alloc-31612 [004] 34326.485538: funcgraph_exit:       + 29.757 us  |                }
      lazy_alloc-31612 [004] 34326.485539: funcgraph_exit:       + 30.928 us  |              }
      lazy_alloc-31612 [004] 34326.485539: funcgraph_exit:       + 31.520 us  |            }
      lazy_alloc-31612 [004] 34326.485539: funcgraph_entry:        0.087 us   |            down_write();
      lazy_alloc-31612 [004] 34326.485539: funcgraph_entry:        0.095 us   |            _raw_spin_lock();
      lazy_alloc-31612 [004] 34326.485539: funcgraph_entry:        0.214 us   |            anon_vma_interval_tree_insert();
      lazy_alloc-31612 [004] 34326.485540: funcgraph_entry:        0.090 us   |            _raw_spin_unlock();
      lazy_alloc-31612 [004] 34326.485540: funcgraph_entry:        0.088 us   |            up_write();
      lazy_alloc-31612 [004] 34326.485540: funcgraph_exit:       + 34.201 us  |          }
      lazy_alloc-31612 [004] 34326.485540: funcgraph_exit:       + 34.594 us  |        }
      lazy_alloc-31612 [004] 34326.485540: funcgraph_entry:                   |        vma_alloc_folio_noprof() {
      lazy_alloc-31612 [004] 34326.485540: funcgraph_entry:        0.117 us   |          get_vma_policy();
      lazy_alloc-31612 [004] 34326.485541: funcgraph_entry:                   |          alloc_pages_mpol() {
      lazy_alloc-31612 [004] 34326.485541: funcgraph_entry:        0.086 us   |            policy_nodemask();
      lazy_alloc-31612 [004] 34326.485541: funcgraph_entry:                   |            __alloc_frozen_pages_noprof() {
      lazy_alloc-31612 [004] 34326.485541: funcgraph_entry:        0.109 us   |              __next_zones_zonelist();
      lazy_alloc-31612 [004] 34326.485541: funcgraph_entry:                   |              get_page_from_freelist() {
      lazy_alloc-31612 [004] 34326.485541: funcgraph_entry:        0.093 us   |                _raw_spin_trylock();
      lazy_alloc-31612 [004] 34326.485542: funcgraph_entry:        0.143 us   |                _raw_spin_unlock();
      lazy_alloc-31612 [004] 34326.485542: funcgraph_exit:         0.885 us   |              }
      lazy_alloc-31612 [004] 34326.485542: funcgraph_exit:         1.473 us   |            }
